YEAR,COUNTRY,n_unweighted,total_weighted,pct_married_us_born,pct_same_country,pct_same_region,pct_different_region
1970,Middle East (ns),297.0,29700.0,26.599326599326602,50.505050505050505,3.7037037037037033,19.19191919191919
1970,Netherlands,718.0,71800.0,28.27298050139276,66.01671309192201,0.0,5.710306406685237
1970,New Zealand,60.0,6000.0,38.333333333333336,53.333333333333336,0.0,8.333333333333332
1970,Northern Ireland,594.0,59400.0,53.198653198653204,37.03703703703704,3.535353535353535,6.228956228956229
1970,Pakistan,120.0,12000.0,35.833333333333336,36.666666666666664,0.0,27.500000000000004
1970,Philippines,1037.0,103700.0,31.53326904532305,61.90935390549662,0.0,6.557377049180328
1970,Poland,5643.0,564300.0,48.768385610490874,37.56866914761652,0.0,13.66294524189261
1970,Puerto Rico,4136.0,413600.0,13.588007736943908,80.02901353965184,1.4264990328820115,4.956479690522244
1970,Romania,3493.0,349300.0,32.150014314342975,49.35585456627541,2.86286859433152,15.631262525050099
1970,Scotland,243.0,24300.0,46.09053497942387,39.50617283950617,3.292181069958848,11.11111111111111
1970,South America (ns),1360.0,136000.0,25.808823529411768,56.1764705882353,0.0,18.014705882352942
1970,Spain,2861.0,286100.0,34.009087731562396,46.13771408598392,0.0,19.85319818245369
1970,Sweden,71.0,7100.0,32.3943661971831,36.61971830985916,14.084507042253522,16.901408450704224
1970,Switzerland,291.0,29100.0,45.017182130584196,29.553264604810998,0.0,25.42955326460481
1970,Syria,189.0,18900.0,44.44444444444444,26.455026455026452,4.761904761904762,24.33862433862434
1970,Turkey,50.0,5000.0,46.0,40.0,8.0,6.0
1970,US Virgin Islands,179.0,17900.0,65.92178770949721,20.11173184357542,3.35195530726257,10.614525139664805
1970,United Kingdom (ns),686.0,68600.0,60.932944606414,28.86297376093295,4.081632653061225,6.122448979591836
1970,West Indies (ns),1104.0,110400.0,24.094202898550723,65.57971014492753,2.2644927536231885,8.06159420289855
1970,Yugoslavia,1087.0,108700.0,27.69089236430543,56.117755289788406,6.7157313707451705,9.475620975160993
1980,Africa (ns),5086.0,101720.0,35.56822650412898,46.834447502949274,0.0,17.597325992921746
1980,Alaska (territory),198.0,3960.0,26.767676767676768,59.59595959595959,0.0,13.636363636363635
1980,Albania,2087.0,41740.0,28.222328701485385,41.39913751796838,14.326784858648779,16.05174892189746
1980,Atlantic Islands,576.0,11520.0,58.50694444444444,30.208333333333332,0.0,11.284722222222223
1980,Australia,1471.0,29420.0,68.25288919102651,16.859279401767505,0.13596193065941536,14.751869476546567
1980,Austria,3450.0,69000.0,49.36231884057971,37.913043478260875,0.0,12.72463768115942
1980,Austria-Hungary (ns),3761.0,75220.0,51.36931667109811,21.59000265886732,8.721084817867588,18.319595852166977
1980,Belgium,384.0,7680.0,40.88541666666667,46.35416666666667,0.0,12.760416666666666
1980,Born abroad (US parents),17930.0,358600.0,47.98103736754044,24.997211377579475,0.0,27.021751254880087
1980,Bulgaria,4367.0,87340.0,35.012594458438286,45.29425234714907,8.449736661323563,11.243416533089077
1980,Cambodia,204.0,4080.0,27.450980392156865,37.254901960784316,6.372549019607843,28.921568627450984
1980,Canada,27270.0,545400.0,67.85845251191786,25.13384671800513,0.0,7.007700770077008
1980,Central America (ns),8325.0,166500.0,30.67867867867868,50.28228228228229,3.423423423423423,15.615615615615615
1980,Channel Islands,4397.0,87940.0,59.42688196497612,25.289970434387083,2.7746190584489425,12.508528542187856
1980,China,13438.0,268760.0,13.774371186188421,79.62494418812324,0.2083643399315374,6.392320285756808
1980,Code 414,6125.0,122500.0,45.6,44.604081632653056,2.0244897959183676,7.7714285714285705
1980,Cuba,18086.0,361720.0,9.9192745770209,79.73017803826164,1.6697998451841203,8.68074753953334
1980,Czechoslovakia,3396.0,67920.0,43.05064782096584,35.39458186101296,9.74676089517079,11.808009422850413
1980,Denmark,56.0,1120.0,44.642857142857146,25.0,8.928571428571429,21.428571428571427
1980,Egypt,53.0,1060.0,5.660377358490567,79.24528301886792,7.547169811320755,7.547169811320755
1980,England,1279.0,25580.0,57.38858483189993,28.459734167318217,4.065676309616888,10.086004691164971
1980,Europe (ns),133.0,2660.0,47.368421052631575,34.58646616541353,0.0,18.045112781954884
1980,Finland,6811.0,136220.0,26.04610189399501,66.80369989722507,0.6606959330494788,6.489502275730436
1980,France,2131.0,42620.0,36.27404974190521,33.2238385734397,0.0,30.50211168465509
1980,Germany,5141.0,102820.0,61.40828632561759,19.101342151332425,1.1281851779809375,18.362186345069055
1980,Guam,111.0,2220.0,47.74774774774775,14.414414414414415,23.423423423423422,14.414414414414415
1980,Hawaii (territory),600.0,12000.0,51.33333333333333,35.0,0.8333333333333334,12.833333333333332
1980,Hong Kong,355.0,7100.0,6.478873239436619,81.12676056338029,1.4084507042253522,10.985915492957748
1980,Hungary,261.0,5220.0,28.735632183908045,31.417624521072796,16.091954022988507,23.754789272030653
1980,Iceland,26809.0,536180.0,40.67663844231415,53.579021970233875,0.1380133537244955,5.606326233727479
1980,India,8404.0,168080.0,10.292717753450738,82.31794383626846,0.0,7.389338410280819
1980,Indonesia,130.0,2600.0,26.153846153846157,24.615384615384617,10.76923076923077,38.46153846153847
1980,Iran,1227.0,24540.0,30.317848410757946,47.59576202118989,12.469437652811736,9.616951915240424
1980,Iraq,296.0,5920.0,24.324324324324326,56.08108108108109,2.364864864864865,17.22972972972973
1980,Ireland,13727.0,274540.0,65.30924455452757,21.490493188606397,0.0,13.20026225686603
1980,Isle of Man,402.0,8040.0,65.4228855721393,9.950248756218906,5.721393034825871,18.90547263681592
1980,Israel,741.0,14820.0,16.869095816464238,68.55600539811067,5.398110661268556,9.176788124156547
1980,Italy,2749.0,54980.0,29.719898144779922,48.52673699527101,1.9643506729719897,19.789014186977084
1980,Japan,7096.0,141920.0,62.4859075535513,31.482525366403607,0.0,6.031567080045096
1980,Jordan,327.0,6540.0,10.703363914373089,78.89908256880734,3.9755351681957185,6.422018348623854
1980,Korea,7354.0,147080.0,26.461789502311667,68.83328800652706,0.0,4.704922491161273
1980,Lebanon,619.0,12380.0,25.68659127625202,41.68012924071082,19.87075928917609,12.762520193861066
1980,Macau,978.0,19560.0,26.482617586912067,49.897750511247445,2.3517382413087935,21.267893660531698
1980,Malaysia,88.0,1760.0,26.136363636363637,56.81818181818182,0.0,17.045454545454543
1980,Mexico,56441.0,1128820.0,27.956627274499034,67.79114473521022,0.0,4.252227990290746
1980,Middle East (ns),1418.0,28360.0,28.561354019746123,50.49365303244006,5.148095909732017,15.796897038081806
1980,Myanmar/Burma,932.0,18640.0,1.1802575107296138,94.20600858369099,1.502145922746781,3.111587982832618
1980,Netherlands,6639.0,132780.0,16.990510619069138,77.8430486519054,0.0,5.166440729025456
1980,New Zealand,970.0,19400.0,30.309278350515463,60.41237113402062,0.2061855670103093,9.072164948453608
1980,Northern Ireland,1821.0,36420.0,57.55079626578803,31.74080175727622,4.008786381109281,6.699615595826469
1980,Pakistan,2501.0,50020.0,26.029588164734108,64.37425029988005,0.03998400639744103,9.556177528988405
1980,Philippines,14636.0,292720.0,22.7862804044821,72.35583492757584,0.0,4.85788466794206
1980,Poland,27975.0,559500.0,60.1751563896336,27.874888293118854,0.0,11.949955317247543
1980,Puerto Rico,22798.0,455960.0,19.92280024563558,69.75173260812352,0.1622949381524695,10.16317220808843
1980,Romania,12390.0,247800.0,31.2590799031477,51.170298627925746,3.1638418079096042,14.40677966101695
1980,Scotland,805.0,16100.0,48.94409937888199,36.024844720496894,3.7267080745341614,11.304347826086957
1980,South America (ns),14666.0,293320.0,22.528296740760943,59.15723441974635,0.0,18.314468839492704
1980,Spain,10448.0,208960.0,29.402756508422666,52.986217457886674,0.0,17.611026033690656
1980,Sweden,223.0,4460.0,26.905829596412556,37.66816143497758,12.10762331838565,23.318385650224215
1980,Switzerland,1271.0,25420.0,47.128245476003144,28.481510621557828,0.0,24.390243902439025
1980,Syria,1935.0,38700.0,35.24547803617571,41.24031007751938,4.8062015503875966,18.708010335917315
1980,Thailand,3827.0,76540.0,14.7896524692971,78.75620590540893,0.39195192056441075,6.062189704729553
1980,Turkey,497.0,9940.0,17.50503018108652,60.7645875251509,12.877263581488934,8.853118712273641
1980,US Virgin Islands,429.0,8580.0,53.84615384615385,29.836829836829835,2.331002331002331,13.986013986013987
1980,United Kingdom (ns),3664.0,73280.0,57.12336244541485,29.967248908296945,3.411572052401747,9.497816593886462
1980,Vietnam,1371.0,27420.0,52.95404814004377,38.51203501094092,0.0,8.533916849015318
1980,Wales,136.0,2720.0,60.29411764705882,30.88235294117647,1.4705882352941175,7.352941176470589
1980,West Indies (ns),13427.0,268540.0,17.323303790869144,72.07864750130334,2.450286735681835,8.147761972145677
1980,Yugoslavia,5058.0,101160.0,22.597864768683273,62.11941478845393,4.784499802293396,10.498220640569395
1990,Africa (ns),8423.0,189960.0,32.95483259633607,52.03305959149295,0.0,15.012107812170983
1990,Alaska (territory),329.0,6704.0,34.85978520286396,47.13603818615752,0.0,18.00417661097852
1990,Albania,2591.0,56056.0,18.576066790352506,60.37355501641216,8.550378193235336,12.5
1990,Asia (ns),53.0,1302.0,11.213517665130567,54.99231950844854,0.0,33.794162826420894
1990,Atlantic Islands,645.0,13366.0,51.62352237019303,40.63294927427802,0.0,7.743528355528954
1990,Australia,1784.0,35144.0,70.37332119280674,15.00682904620988,0.39551559298884587,14.224334167994538
1990,Austria,3248.0,64191.0,54.445327226558234,30.85946628031967,0.0,14.69520649312209
1990,Austria-Hungary (ns),2484.0,49706.0,59.27051060234177,14.6843439423812,8.602583189152215,17.442562266124813
1990,Belgium,335.0,7314.0,38.66557287394039,51.763740771123864,0.0,9.57068635493574
1990,Born abroad (US parents),13859.0,295260.0,27.80295332926912,39.042538779380884,0.0,33.15450789135
1990,Bulgaria,3230.0,66300.0,33.1447963800905,47.23529411764706,8.013574660633484,11.606334841628959
1990,Cambodia,546.0,11909.0,27.021580317407,39.39877403644302,4.114535225459736,29.465110420690234
1990,Canada,24722.0,486323.0,69.83959220518051,22.981228525074897,0.0,7.179179269744594
1990,Central America (ns),21060.0,460126.0,18.493630005694094,64.65185623068463,2.7403363426539684,14.1141774209673
1990,Channel Islands,3370.0,67471.0,62.76474337122616,23.027671147604156,1.8822901691096916,12.325295312059996
1990,China,26314.0,557753.0,9.785872958101525,83.85916346483121,0.36324322773700907,5.991720349330259
1990,Code 414,5115.0,104460.0,45.94103005935286,44.95883591805476,1.796860042121386,7.303273980470994
1990,Cuba,21330.0,436044.0,14.244892717248717,74.67136344038676,2.6396418710038434,8.44410197136069
1990,Czechoslovakia,2533.0,50580.0,38.8928430209569,38.355081059707395,9.875444839857652,12.876631079478054
1990,Egypt,102.0,2284.0,9.238178633975481,78.28371278458845,3.1523642732049035,9.325744308231174
1990,England,1140.0,22946.0,57.23001830384381,28.56707051337924,2.2008193149132746,12.00209186786368
1990,Europe (ns),70.0,1435.0,56.86411149825784,27.526132404181187,0.0,15.609756097560975
1990,Finland,5762.0,122262.0,29.655984688619526,62.487935744548594,0.6387921022067364,7.21728746462515
1990,France,2263.0,47210.0,44.090235119678034,27.962296123702608,0.0,27.947468756619358
1990,Germany,5483.0,111492.0,66.32045348545186,16.887310300290604,0.49510278764395654,16.29713342661357
1990,Guam,906.0,21559.0,28.642330349274086,26.88900227283269,28.656245651468065,15.812421726425157
1990,Hawaii (territory),951.0,20014.0,59.683221744778656,29.004696712301385,0.5795942840011992,10.732487258918757
1990,Hong Kong,2341.0,51092.0,1.9376810459563143,90.94378767713145,1.4327096218586082,5.685821655053629
1990,Hungary,230.0,4590.0,24.313725490196077,43.028322440087145,8.32244008714597,24.335511982570807
1990,Iceland,19265.0,395308.0,43.58829064931648,50.09258603418094,0.13786718204539244,6.181256134457183
1990,India,17015.0,371502.0,8.022298668647814,85.15674209021755,0.0,6.820959241134637
1990,Indonesia,291.0,6096.0,33.3989501312336,30.708661417322837,5.331364829396326,30.561023622047244
1990,Iran,2264.0,50100.0,25.117764471057885,54.21756487025948,10.207584830339322,10.457085828343313
1990,Iraq,333.0,7033.0,31.195791269728424,44.64666571875444,3.6257642542300585,20.531778757287075
1990,Ireland,13652.0,271880.0,67.96160070619392,19.272840959246725,0.0,12.765558334559366
1990,Isle of Man,326.0,6421.0,73.64896433577324,6.665628406790219,2.2270674349789754,17.45833982245756
1990,Israel,1144.0,25924.0,15.186699583397623,71.08470914982256,5.878722419379725,7.849868847400092
1990,Italy,1870.0,37559.0,31.54503581032509,47.85537421124098,2.106019862083655,18.493570116350273
1990,Japan,10224.0,213344.0,57.43728438578071,36.4955189740513,0.0,6.0671966401679915
1990,Jordan,276.0,6239.0,23.72175028049367,57.15659560827056,6.395255649943901,12.726398461291874
1990,Korea,15464.0,334372.0,19.604213271446174,76.70050123814195,0.0,3.6952854904118766
1990,Lebanon,1101.0,23540.0,23.887000849617674,48.67884451996601,17.19626168224299,10.237892948173322
1990,Macau,1279.0,26809.0,28.482972136222912,49.774329516207246,4.856578014845761,16.886120332724087
1990,Malaysia,575.0,12486.0,7.192055101713919,86.08041005926637,0.0,6.727534839019703
1990,Mexico,102110.0,2081946.0,20.669123983042788,74.9703402489786,0.0,4.360535767978612
1990,Middle East (ns),1543.0,32557.0,34.1124796510735,49.57459225358602,4.9267438646066894,11.38618423073379
1990,Myanmar/Burma,3736.0,82607.0,1.902986429721452,94.00414008498069,1.3340273826673286,2.7588461026305278
1990,Netherlands,7476.0,149616.0,17.38784621965565,77.63407656935087,0.0,4.978077210993477
1990,New Zealand,1345.0,27973.0,27.20122975726593,60.34032817359597,0.4861831051370965,11.972258964001
1990,Northern Ireland,1217.0,24227.0,65.70355388616007,23.11883435836051,3.3103562141412475,7.867255541338176
1990,Pakistan,5383.0,113978.0,21.31376230500623,70.0205302777729,0.0,8.665707417220867
1990,Philippines,26009.0,537879.0,23.578909011134474,72.05189271192964,0.0,4.369198276935891
1990,Poland,28646.0,572989.0,70.57971444477992,19.08675384693249,0.0,10.333531708287595
1990,Puerto Rico,21215.0,480043.0,25.376060061286175,62.26421383084432,1.2705111833731562,11.089214924496348
1990,Romania,10528.0,222783.0,25.602940978440902,60.944955405035394,2.422087861282055,11.030015755241648
1990,Saudi Arabia,96.0,2249.0,49.22187638950645,11.249444197421075,24.544241885282347,14.984437527790128
1990,Scotland,632.0,12291.0,55.78065250996664,31.624766089008215,2.4570824180294526,10.137498982995687
1990,South America (ns),23705.0,525614.0,22.515952771425418,60.88327175455752,0.0,16.600775474017055
1990,Spain,7767.0,168715.0,16.006875500103725,70.76015766232997,0.0,13.232966837566309
1990,Sweden,154.0,3174.0,22.841839949590423,37.01953371140517,15.059861373660995,25.078764965343414
1990,Switzerland,1219.0,23532.0,53.95206527281999,24.92350841407445,0.0,21.124426313105555
1990,Syria,2984.0,65488.0,32.494502809675055,43.80344490593696,5.5842291717566575,18.11782311263132
1990,Thailand,10659.0,226860.0,8.078991448470422,85.05510006171207,0.5408622057656705,6.325046284051838
1990,Turkey,852.0,18460.0,22.713976164680393,57.15059588299025,13.64572047670639,6.489707475622969
1990,US Virgin Islands,403.0,9413.0,53.383618400084984,19.292467863592904,5.768617868904706,21.5552958674174
1990,United Kingdom (ns),4584.0,90426.0,59.234069847167845,27.4191051246323,2.1774710813261673,11.169353946873686
1990,Vietnam,2083.0,44375.0,43.68676056338028,44.83154929577465,0.0,11.481690140845071
1990,Wales,162.0,3240.0,66.45061728395062,24.135802469135804,1.8518518518518516,7.561728395061729
1990,West Indies (ns),18798.0,461581.0,17.453708016577803,72.64077160888338,2.0288963367209654,7.876624037817848
1990,Yugoslavia,4369.0,93065.0,22.789448235104498,62.65943158007844,4.207811744479665,10.343308440337399
2000,Africa (ns),17514.0,410799.0,22.15146580201023,66.99310368330984,0.0,10.855430514679929
2000,Alaska (territory),472.0,10091.0,42.027549301357645,41.789713606183724,0.6044990585670399,15.578238033891587
2000,Albania,3506.0,77063.0,14.49463426028055,71.47917937272102,4.883017790638828,9.143168576359601
2000,Americas (ns),187.0,3842.0,32.144716293597085,31.10359187922957,0.0,36.751691827173346
2000,Atlantic Islands,924.0,19364.0,42.40859326585416,50.428630448254495,0.0,7.162776285891345
2000,Australia,2459.0,50624.0,64.91980088495575,21.248814791403287,0.39506953223767377,13.436314791403287
2000,Austria,3140.0,64033.0,55.55729077194571,29.49572876485562,0.0,14.946980463198663
2000,Austria-Hungary (ns),1883.0,38289.0,60.456005641306895,16.393742328083786,6.231554754629267,16.918697275980048
2000,Bulgaria,2647.0,54764.0,33.23351106566357,46.977941713534435,7.554232707618143,12.234314513183843
2000,Cambodia,1100.0,24878.0,24.499557842270278,41.00811962376397,5.430500844119302,29.06182168984645
2000,Canada,25288.0,512425.0,62.54690930380056,30.065863297067864,0.0,7.3872273991315796
2000,Central America (ns),41552.0,904425.0,15.033750725599138,68.45432180667275,2.2396550294385937,14.272272438289521
2000,Channel Islands,2814.0,57466.0,61.78783976612257,21.79897678627362,3.203633452824279,13.20954999477952
2000,China,42147.0,920398.0,8.489588199887441,85.98302038900563,0.3413740577445844,5.18601735336235
2000,Code 414,4563.0,95139.0,48.64987018993263,40.72567506490503,1.4757355027906536,9.148719242371687
2000,Cuba,22730.0,479910.0,14.75735033652143,74.39311537579964,3.0101477360338396,7.8393865516451005
2000,Czechoslovakia,2127.0,45137.0,38.63349358619315,41.57121651859893,8.139663690542127,11.655626204665795
2000,Egypt,388.0,8761.0,14.82707453487045,72.30909713503024,3.036183084122817,9.827645245976486
2000,England,932.0,18788.0,60.07558015754737,25.154353842878436,1.9054715776027253,12.86459442197147
2000,Europe (ns),1085.0,22975.0,43.947769314472254,35.78237214363438,0.0,20.269858541893363
2000,Finland,6088.0,132417.0,27.694329277962797,65.07095010459382,0.5407160711993173,6.694004546244062
2000,France,2757.0,59779.0,48.52038341223507,25.840177988925877,0.0,25.63943859883906
2000,Germany,5906.0,123702.0,62.344990380107035,20.410340980744046,0.4866534089990461,16.758015230149876
2000,Hawaii (territory),1296.0,27350.0,61.24314442413162,24.705667276051187,0.680073126142596,13.371115173674589
2000,Hong Kong,3454.0,74687.0,4.508147334877555,85.78199686692464,1.89323443169494,7.816621366502872
2000,Hungary,729.0,16610.0,16.50812763395545,71.13786875376279,1.9566526189042743,10.397350993377485
2000,Iceland,15941.0,338781.0,41.87542984996207,51.31722263054894,0.13666646004350894,6.670681059445482
2000,India,39655.0,898943.0,5.219240819495786,90.38893455981079,0.0,4.391824620693415
2000,Indonesia,471.0,10447.0,32.39207427969752,31.951756485115347,5.475256054369675,30.18091318081746
2000,Iran,3064.0,68469.0,20.736391651696387,59.178606376608386,9.61457009741635,10.470431874278871
2000,Iraq,340.0,7296.0,35.62225877192983,40.85800438596491,3.8103070175438596,19.709429824561404
2000,Ireland,14022.0,288984.0,64.57450931539462,21.976303186335574,0.0,13.449187498269803
2000,Isle of Man,330.0,6803.0,57.886226664706754,13.273555784212848,8.760840805526973,20.079376745553432
2000,Israel,2172.0,51792.0,10.771933889403769,78.47737102255175,4.193697868396663,6.556997219647823
2000,Italy,1368.0,29446.0,28.85621136996536,47.765401073150855,0.3939414521496977,22.98444610473409
2000,Japan,11716.0,249193.0,56.664513048119325,36.23175610871894,0.0,7.103730843161726
2000,Jordan,337.0,7903.0,24.15538403138049,54.3717575604201,9.338225990130331,12.134632418069087
2000,Korea,22299.0,490111.0,18.044891871433204,78.87764200354613,0.0,3.0774661250206585
2000,Laos,1817.0,40963.0,15.357761882674609,51.827258745697335,0.8568708346556649,31.95810853697239
2000,Lebanon,1607.0,35235.0,14.99929047821768,61.91854689938982,12.777068255995458,10.305094366397048
2000,Macau,1748.0,37924.0,28.000738318742748,53.261786731357454,4.759519038076152,13.977955911823647
2000,Malaysia,1083.0,23629.0,5.912226501333108,86.94824156756528,0.07617757839942443,7.063354352702188
2000,Mexico,216886.0,4523418.0,14.833362735878048,82.008118639489,0.0,3.1585186246329657
2000,Middle East (ns),2257.0,49578.0,29.89229093549558,56.63600790673282,2.9145992173948123,10.55710194037678
2000,Myanmar/Burma,5270.0,122193.0,5.113222525021892,88.35694352376977,1.6195690424165048,4.91026490879183
2000,Netherlands,7299.0,143797.0,20.69445120551889,73.10653212514865,0.0,6.199016669332462
2000,New Zealand,2263.0,48668.0,23.041834470288485,67.33993589216733,0.4068381688172927,9.211391468726884
2000,Northern Ireland,980.0,20038.0,60.22058089629704,27.1983231859467,2.0710649765445655,10.510030941211697
2000,Pakistan,8062.0,174176.0,16.79106191438545,75.05683905934227,0.0,8.152099026272277
2000,Philippines,38280.0,807498.0,22.610458477915735,73.24352506136238,0.0,4.146016460721884
2000,Poland,29122.0,594073.0,72.80519397447789,17.65052443049928,0.0,9.544281595022834
2000,Puerto Rico,26448.0,582450.0,28.017855609923597,58.43317022920422,0.12670615503476693,13.422268005837413
2000,Romania,11966.0,264859.0,17.086827330768447,74.35767710366648,1.3863980457526457,7.1690975198124285
2000,Saudi Arabia,427.0,10418.0,25.311960069111155,26.86696102898829,22.345939719715876,25.47513918218468
2000,Scotland,629.0,13135.0,50.59002664636467,38.39360487247811,1.5683288922725542,9.448039588884658
2000,South America (ns),42376.0,941072.0,20.215881462842376,66.12958413383886,0.0,13.654534403318769
2000,Spain,18961.0,422669.0,7.592702563944837,85.79337495770922,0.0,6.613922478345939
2000,Sri Lanka,215.0,5021.0,14.4991037641904,71.89802828121888,0.0,13.60286795459072
2000,Sweden,904.0,20939.0,8.711017718133625,84.45962080328574,2.0679115526051866,4.761449925975453
2000,Switzerland,1358.0,27530.0,48.75771885216128,29.782055938975667,0.0,21.460225208863058
2000,Syria,3212.0,70752.0,34.7071460877431,43.41078697421981,4.505879692446857,17.37618724559023
2000,Thailand,23827.0,519448.0,6.6520614190448315,87.99417843557006,0.5141996889005251,4.839560456484576
2000,Turkey,1364.0,31450.0,19.83783783783784,53.98092209856916,13.271860095389506,12.909379968203497
2000,US Virgin Islands,650.0,14751.0,51.820215578604845,23.48993288590604,3.7014439699003456,20.988407565588773
2000,United Kingdom (ns),5674.0,119770.0,55.781915337730645,28.460382399599233,1.8368539701093762,13.920848292560741
2000,Vietnam,3025.0,65667.0,42.01653798711681,42.962218465896115,0.0,15.02124354698707
2000,West Indies (ns),36105.0,821971.0,15.392878824192094,76.61839651277235,1.6320527123219675,6.35667195071359
2000,Yugoslavia,6346.0,146843.0,13.750059587450542,77.83891639369939,2.060023290180669,6.351000728669395
2010,Africa (ns),28591.0,660080.0,21.323627439098292,69.03602593625016,0.0,9.640346624651558
2010,Alaska (territory),977.0,24072.0,35.14456630109671,56.24792289797275,0.3904951811232968,8.217015619807245
2010,Albania,4716.0,94236.0,18.902542552739927,69.10734751050553,3.162273441147757,8.827836495606775
2010,Americas (ns),352.0,8368.0,20.80544933078394,47.72944550669216,0.0,31.465105162523898
2010,Asia (ns),2130.0,47557.0,20.19261097209664,49.03168828984166,0.0,30.775700738061694
2010,At sea,626.0,14228.0,34.00337362946303,42.47961765532752,0.0,23.517008715209446
2010,Atlantic Islands,913.0,19378.0,43.25007740736918,45.505212096191556,0.0,11.24471049643926
2010,Australia,3432.0,61740.0,65.52640103660512,18.30579850988014,0.3417557499190152,15.826044703595723
2010,Austria,3569.0,61453.0,59.27294029583584,24.156672579044148,0.0,16.57038712512001
2010,Austria-Hungary (ns),1868.0,32505.0,63.49792339640056,10.38917089678511,5.7683433317951085,20.34456237501923
2010,Bulgaria,2606.0,46155.0,37.18773697324234,42.36594085147871,7.30798396706749,13.138338208211461
2010,Cambodia,1718.0,35309.0,26.94780367611657,37.256790053527425,3.959330482313291,31.836075788042713
2010,Canada,29919.0,526940.0,63.75336850495312,26.5320529851596,0.0,9.714578509887275
2010,Central America (ns),48323.0,1192345.0,16.017847183491355,66.72498312149587,2.0712126104441246,15.185957084568644
2010,Channel Islands,2588.0,44423.0,65.75422641424488,16.33838326992774,2.6472773113027035,15.260113004524683
2010,China,59661.0,1207592.0,10.036999251402792,83.55868538380513,0.5776785536836945,5.826636811108388
2010,Code 414,4897.0,87882.0,54.222707721717754,33.98306820509319,1.837691449898728,9.95653262329032
2010,Cuba,23820.0,508337.0,14.84625356800705,71.92236646161896,3.5246303141419966,9.706749656231988
2010,Czechoslovakia,2256.0,41575.0,41.8135898977751,37.43355381840048,6.61455201443175,14.138304269392663
2010,Egypt,714.0,18553.0,10.855387268905298,82.89764458578126,1.3474909718104888,4.899477173502937
2010,England,1073.0,18594.0,58.92761105733032,23.238679143809833,2.3502205012369584,15.483489297622889
2010,Europe (ns),861.0,15410.0,38.68267358857885,38.44256975989617,0.0,22.874756651524983
2010,Finland,5915.0,115416.0,31.53895473764469,58.22329659665905,0.6203645941637208,9.617384071532543
2010,France,3192.0,62529.0,55.28154936109645,19.33342928880999,0.0,25.385021350093556
2010,Germany,6935.0,125825.0,60.2265050665607,18.551162328631037,0.7526326246771309,20.469699980131136
2010,Hawaii (territory),1652.0,34247.0,62.82886092212456,21.3332554676322,0.7007913101877536,15.13709230005548
2010,Hong Kong,3925.0,84506.0,8.664473528506852,78.20746455872955,2.2897782405983005,10.83828367216529
